cbsa_code,cbsa_name,metro_micro,city_name,state_fips,place_fips
10100,"Aberdeen, SD",micropolitan,Aberdeen,46,100
10140,"Aberdeen, WA",micropolitan,Aberdeen,53,100
10180,"Abilene, TX",metropolitan,Abilene,48,1000
10220,"Ada, OK",micropolitan,Ada,40,200
10260,"Adjuntas, PR",micropolitan,Adjuntas,72,358
10300,"Adrian, MI",micropolitan,Adrian,26,440
10380,"Aguadilla-Isabela, PR",metropolitan,Aguadilla,72,745
10380,"Aguadilla-Isabela, PR",metropolitan,Isabela,72,36478
10420,"Akron, OH",metropolitan,Akron,39,1000
10460,"Alamogordo, NM",micropolitan,Alamogordo,35,1780
10500,"Albany, GA",metropolitan,Albany,13,1052
10540,"Albany, OR",metropolitan,Albany,41,1000
10580,"Albany-Schenectady-Troy, NY",metropolitan,Albany,36,1000
10580,"Albany-Schenectady-Troy, NY",metropolitan,Schenectady,36,65508
10580,"Albany-Schenectady-Troy, NY",metropolitan,Troy,36,75484
10620,"Albemarle, NC",micropolitan,Albemarle,37,680
10660,"Albert Lea, MN",micropolitan,Albert Lea,27,694
10700,"Albertville, AL",micropolitan,Albertville,1,988
10740,"Albuquerque, NM",metropolitan,Albuquerque,35,2000
10780,"Alexandria, LA",metropolitan,Alexandria,22,975
10820,"Alexandria, MN",micropolitan,Alexandria,27,928
10860,"Alice, TX",micropolitan,Alice,48,1852
10900,"Allentown-Bethlehem-Easton, PA-NJ",metropolitan,Allentown,42,2000
10900,"Allentown-Bethlehem-Easton, PA-NJ",metropolitan,Bethlehem,42,6088
10940,"Alma, MI",micropolitan,Alma,26,1540
10980,"Alpena, MI",micropolitan,Alpena,26,1740
11020,"Altoona, PA",metropolitan,Altoona,42,2184
11060,"Altus, OK",micropolitan,Altus,40,1700
11100,"Amarillo, TX",metropolitan,Amarillo,48,3000
11140,"Americus, GA",micropolitan,Americus,13,2116
11180,"Ames, IA",metropolitan,Ames,19,1855
11220,"Amsterdam, NY",micropolitan,Amsterdam,36,2066
11260,"Anchorage, AK",metropolitan,Anchorage,2,3000
11380,"Andrews, TX",micropolitan,Andrews,48,3216
11420,"Angola, IN",micropolitan,Angola,18,1666
11460,"Ann Arbor, MI",metropolitan,Ann Arbor,26,3000
11500,"Anniston-Oxford-Jacksonville, AL",metropolitan,Anniston,1,1852
11500,"Anniston-Oxford-Jacksonville, AL",metropolitan,Jacksonville,1,38272
11500,"Anniston-Oxford-Jacksonville, AL",metropolitan,Oxford,1,57576
11540,"Appleton, WI",metropolitan,Appleton,55,2375
11580,"Arcadia, FL",micropolitan,Arcadia,12,1750
11620,"Ardmore, OK",micropolitan,Ardmore,40,2600
11640,"Arecibo, PR",metropolitan,Arecibo,72,3368
11660,"Arkadelphia, AR",micropolitan,Arkadelphia,5,1870
11680,"Arkansas City-Winfield, KS",micropolitan,Arkansas City,20,2300
11680,"Arkansas City-Winfield, KS",micropolitan,Winfield,20,79950
11700,"Asheville, NC",metropolitan,Asheville,37,2140
11740,"Ashland, OH",micropolitan,Ashland,39,2568
11780,"Ashtabula, OH",micropolitan,Ashtabula,39,2638
11820,"Astoria, OR",micropolitan,Astoria,41,3150
11860,"Atchison, KS",micropolitan,Atchison,20,2900
11900,"Athens, OH",micropolitan,Athens,39,2736
11940,"Athens, TN",micropolitan,Athens,47,2320
11980,"Athens, TX",micropolitan,Athens,48,4504
12020,"Athens-Clarke County, GA",metropolitan,Athens-Clarke County unified government (balance),13,3440
12060,"Atlanta-Sandy Springs-Roswell, GA",metropolitan,Alpharetta,13,1696
12060,"Atlanta-Sandy Springs-Roswell, GA",metropolitan,Atlanta,13,4000
12060,"Atlanta-Sandy Springs-Roswell, GA",metropolitan,Marietta,13,49756
12060,"Atlanta-Sandy Springs-Roswell, GA",metropolitan,Roswell,13,67284
12060,"Atlanta-Sandy Springs-Roswell, GA",metropolitan,Sandy Springs,13,68516
12100,"Atlantic City-Hammonton, NJ",metropolitan,Atlantic City,34,2080
12100,"Atlantic City-Hammonton, NJ",metropolitan,Hammonton,34,29430
12140,"Auburn, IN",micropolitan,Auburn,18,2674
12180,"Auburn, NY",micropolitan,Auburn,36,3078
12220,"Auburn-Opelika, AL",metropolitan,Auburn,1,3076
12220,"Auburn-Opelika, AL",metropolitan,Opelika,1,57048
12260,"Augusta-Richmond County, GA-SC",metropolitan,Augusta-Richmond County consolidated government (balance),13,4204
12300,"Augusta-Waterville, ME",micropolitan,Augusta,23,2100
12300,"Augusta-Waterville, ME",micropolitan,Waterville,23,80740
12380,"Austin, MN",micropolitan,Austin,27,2908
12420,"Austin-Round Rock, TX",metropolitan,Austin,48,5000
12420,"Austin-Round Rock, TX",metropolitan,Round Rock,48,63500
12460,"Bainbridge, GA",micropolitan,Bainbridge,13,4896
12540,"Bakersfield, CA",metropolitan,Bakersfield,6,3526
12580,"Baltimore-Columbia-Towson, MD",metropolitan,Baltimore,24,4000
12580,"Baltimore-Columbia-Towson, MD",metropolitan,Columbia,24,19125
12580,"Baltimore-Columbia-Towson, MD",metropolitan,Towson,24,78425
12620,"Bangor, ME",metropolitan,Bangor,23,2795
12660,"Baraboo, WI",micropolitan,Baraboo,55,4625
12680,"Bardstown, KY",micropolitan,Bardstown,21,3628
12700,"Barnstable Town, MA",metropolitan,Barnstable Town,25,3690
12740,"Barre, VT",micropolitan,Barre,50,3175
12780,"Bartlesville, OK",micropolitan,Bartlesville,40,4450
12820,"Bastrop, LA",micropolitan,Bastrop,22,4685
12860,"Batavia, NY",micropolitan,Batavia,36,4715
12900,"Batesville, AR",micropolitan,Batesville,5,4030
12940,"Baton Rouge, LA",metropolitan,Baton Rouge,22,5000
12980,"Battle Creek, MI",metropolitan,Battle Creek,26,5920
13020,"Bay City, MI",metropolitan,Bay City,26,6020
13060,"Bay City, TX",micropolitan,Bay City,48,5984
13100,"Beatrice, NE",micropolitan,Beatrice,31,3390
13140,"Beaumont-Port Arthur, TX",metropolitan,Beaumont,48,7000
13140,"Beaumont-Port Arthur, TX",metropolitan,Port Arthur,48,58820
13180,"Beaver Dam, WI",micropolitan,Beaver Dam,55,5900
13220,"Beckley, WV",metropolitan,Beckley,54,5332
13260,"Bedford, IN",micropolitan,Bedford,18,4114
13300,"Beeville, TX",micropolitan,Beeville,48,7192
13340,"Bellefontaine, OH",micropolitan,Bellefontaine,39,5130
13380,"Bellingham, WA",metropolitan,Bellingham,53,5280
13420,"Bemidji, MN",micropolitan,Bemidji,27,5068
13460,"Bend-Redmond, OR",metropolitan,Bend,41,5800
13460,"Bend-Redmond, OR",metropolitan,Redmond,41,61200
13500,"Bennettsville, SC",micropolitan,Bennettsville,45,5680
13540,"Bennington, VT",micropolitan,Bennington,50,4750
13620,"Berlin, NH-VT",micropolitan,Berlin,33,5140
13660,"Big Rapids, MI",micropolitan,Big Rapids,26,8300
13700,"Big Spring, TX",micropolitan,Big Spring,48,8236
13720,"Big Stone Gap, VA",micropolitan,Big Stone Gap,51,7480
13740,"Billings, MT",metropolitan,Billings,30,6550
13780,"Binghamton, NY",metropolitan,Binghamton,36,6607
13820,"Birmingham-Hoover, AL",metropolitan,Birmingham,1,7000
13820,"Birmingham-Hoover, AL",metropolitan,Hoover,1,35896
13900,"Bismarck, ND",metropolitan,Bismarck,38,7200
13940,"Blackfoot, ID",micropolitan,Blackfoot,16,7840
13980,"Blacksburg-Christiansburg-Radford, VA",metropolitan,Blacksburg,51,7784
13980,"Blacksburg-Christiansburg-Radford, VA",metropolitan,Christiansburg,51,16608
13980,"Blacksburg-Christiansburg-Radford, VA",metropolitan,Radford,51,65392
14010,"Bloomington, IL",metropolitan,Bloomington,17,6613
14020,"Bloomington, IN",metropolitan,Bloomington,18,5860
14100,"Bloomsburg-Berwick, PA",metropolitan,Berwick,42,5888
14100,"Bloomsburg-Berwick, PA",metropolitan,Bloomsburg,42,7128
14140,"Bluefield, WV-VA",micropolitan,Bluefield,54,8524
14180,"Blytheville, AR",micropolitan,Blytheville,5,7330
14220,"Bogalusa, LA",micropolitan,Bogalusa,22,8150
14260,"Boise City, ID",metropolitan,Boise City,16,8830
14340,"Boone, IA",micropolitan,Boone,19,7480
14380,"Boone, NC",micropolitan,Boone,37,7080
14420,"Borger, TX",micropolitan,Borger,48,9556
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Boston,25,7000
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Cambridge,25,11000
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Framingham,25,24960
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Newton,25,45560
14460,"Boston-Cambridge-Newton, MA-NH",metropolitan,Waltham,25,72600
14500,"Boulder, CO",metropolitan,Boulder,8,7850
14540,"Bowling Green, KY",metropolitan,Bowling Green,21,8902
14580,"Bozeman, MT",micropolitan,Bozeman,30,8950
14620,"Bradford, PA",micropolitan,Bradford,42,8040
14660,"Brainerd, MN",micropolitan,Brainerd,27,7300
14700,"Branson, MO",micropolitan,Branson,29,7966
